"Rank","Title","Rating","Appraise","Director","Actor","Type","Area","Sales","Date","Publish"
720,"新天生一对",6.3,36682,"朱延平","周渝民/小小彬/陈嘉桦","剧情/喜剧/爱情/家庭","中国大陆/台湾",5275,2012-01-23,"国产"
721,"阿黛拉的非凡冒险 Les aventures extraordinaires d'Adèle Blanc-Sec",6.8,59100,"吕克·贝松","露易丝·布尔昆/马修·阿马立克/吉尔·勒卢什","喜剧/奇幻/冒险","法国",5231,2010-08-02,"进口"
722,"机器侠",5.3,30459,"刘镇伟","孙俪/方力申/胡军","动作/喜剧/爱情/科幻","中国大陆",5222,2009-08-18,"国产"
723,"神奇侠侣",5,38208,"谷德昭","古天乐/吴君如/李菁","喜剧","中国大陆/香港",5178,2011-02-03,"国产"
724,"黄金时代",7.1,97642,"许鞍华","汤唯/冯绍峰/王志文","剧情/传记/爱情","中国大陆/香港",5163,2014-10-01,"国产"
725,"在劫难逃 Abduction",5.7,14597,"约翰·辛格顿","泰勒·洛特纳/莉莉·柯林斯/阿尔弗雷德·莫里纳","剧情/动作/悬疑/惊悚","美国",5145,2012-07-27,"进口"
726,"小羊肖恩 Shaun the Sheep Movie",8.4,55820,"马克·伯顿/理查德·斯塔扎克","贾斯汀·弗莱彻/约翰·斯帕克斯/欧米德·吉亚李利","喜剧/动画/冒险","英国/法国",5133,2015-07-17,"进口"
727,"苏乞儿 蘇乞兒",4.7,41653,"袁和平","赵文卓/周迅/杨紫琼","动作/剧情/历史","中国大陆/香港",5128,2010-02-09,"国产"
728,"华尔街：金钱永不眠 Wall Street: Money Never Sleeps",6.4,39825,"奥利佛·斯通","迈克尔·道格拉斯/希亚·拉博夫/乔什·布洛林","剧情/犯罪","美国",5118,2010-10-15,"进口分账"
729,"太平轮(下)·彼岸",6.5,38923,"吴宇森","章子怡/金城武/宋慧乔","剧情/爱情/灾难","中国大陆/香港",5099,2015-07-30,"国产"
730,"巴啦啦小魔仙",3.5,6496,"李欣/叶凯","廖景萱/袁奇峰/王慧","儿童/奇幻/冒险","中国大陆",5098,2013-01-31,"国产"
731,"少年班",5.7,44352,"肖洋","孙红雷/周冬雨/董子健","剧情/喜剧","中国大陆",5068,2015-06-19,"国产"
732,"笔仙3",4.2,6790,"安兵基","江一燕/焦俊艳/王龙华","悬疑/惊悚","中国大陆",5060,2014-07-04,"国产"
733,"致命黑兰 Colombiana",6.9,36264,"奥利维尔·米加顿","佐伊·索尔达娜/迈克尔·瓦尔坦/马克斯·马蒂尼","剧情/动作/惊悚/犯罪","法国",5022,2013-06-07,"进口"
734,"既然青春留不住",4.5,13995,"田蒙","张翰/陈乔恩/王啸坤","喜剧/爱情","中国大陆",5016,2015-10-23,"国产"
735,"永无止境 Limitless",7.3,88957,"尼尔·博格","布莱德利·库珀/艾比·考尼什/罗伯特·德尼罗","科幻/悬疑/惊悚","美国",5018,2011-10-13,"进口"
736,"大闹天宫",6.7,5141,"万籁鸣/唐澄/速达/陈志宏","李扬/陈凯歌/陈道明","动画","中国大陆",4999,2012-01-11,"国产"
737,"火鸡总动员 Free Birds",6,7089,"吉米·海沃德","欧文·威尔逊/伍迪·哈里森/艾米·波勒","喜剧/动画/冒险","美国",4993,2014-03-07,"进口"
738,"模仿游戏 The Imitation Game",8.5,242848,"莫滕·泰杜姆","本尼迪克特·康伯巴奇/凯拉·奈特莉/马修·古迪","剧情/传记/战争/同性","英国/美国",4983,2015-07-21,"进口"
739,"杜拉拉追婚记",5.3,31464,"安竹间","周渝民/林依晨/陈柏霖","喜剧/爱情","中国大陆",4960,2015-12-04,"国产"
740,"背水一战 The Last Stand",6.8,30017,"金知云","阿诺·施瓦辛格/罗德里戈·桑托罗/杰米·亚历山大","喜剧/动作/犯罪","美国",4962,2013-10-24,"进口分账"
741,"暗杀 <U+C554><U+C0B4>",8,107770,"崔东勋","全智贤/李政宰/河正宇","剧情/动作/历史/犯罪","韩国",4946,2015-09-17,"进口"
742,"龙虎门",5.7,46817,"叶伟信","甄子丹/谢霆锋/余文乐","动作/剧情","中国大陆/香港",4900,2006-07-28,"国产"
743,"麦兜·当当伴我心 麥兜<U+2027>噹噹伴我心",8.4,76366,"谢立文","黄秋生/吴君如/胡歌","喜剧/动画","中国大陆/香港",4897,NA,"国产"
744,"大武生",5.2,39293,"高晓松","吴尊/韩庚/徐熙媛","剧情/动作/爱情","中国大陆",4835,2011-09-09,"国产"
745,"寄生兽 寄生獣",7.4,73546,"山崎贵","染谷将太/深津绘里/阿部隆史","剧情/动作/科幻/恐怖","日本",4832,2016-09-02,"进口"
746,"森林战士 Epic",7.3,19235,"克里斯·韦奇","阿曼达·塞弗里德/乔什·哈切森/碧昂丝·诺尔斯","动画/奇幻/冒险","美国",4830,2013-11-29,"进口特种"
747,"潜艇总动员4：章鱼奇遇记",4,693,"何子力","蒋可/王晓彤/李晔","喜剧/动画/冒险","中国大陆",4828,2014-05-30,"国产"
748,"功夫梦 The Karate Kid",6.3,61115,"哈罗德·兹瓦特","贾登·史密斯/成龙/塔拉吉·P·汉森","动作/剧情/家庭/运动","美国/中国大陆",4817,2010-06-22,"国产"
749,"大追捕",7,42753,"周显扬","张家辉/任达华/王敏德","剧情/动作/犯罪/悬疑/惊悚","香港/中国大陆",4814,2012-03-15,"国产"
750,"洛克王国3：圣龙的守护",4.9,3928,"龚宾四","杨莹/阎萌萌/皇贞季","动画/奇幻/冒险","中国大陆",4782,2014-07-11,"国产"
751,"地球：神奇的一天 Earth: One Amazing Day",8.2,8773,"理查德·戴尔/彼得·韦柏/范立欣","成龙/罗伯特·雷德福","纪录片","中国大陆/英国",4777,2017-08-11,"国产"
752,"奔爱",3.7,16913,"张一白/管虎/张猛/滕华涛/高群书","章子怡/彭于晏/佟丽娅","剧情/爱情","中国大陆",4752,2016-02-14,"国产"
753,"华丽上班族 華麗上班族",6,38618,"杜琪峰","周润发/张艾嘉/陈奕迅","剧情/喜剧/爱情/歌舞","香港/中国大陆",4742,2015-09-02,"国产"
754,"盟军夺宝队 The Monuments Men",5.5,17337,"乔治·克鲁尼","乔治·克鲁尼/马特·达蒙/比尔·默瑞","剧情/传记/历史/战争","美国/德国",4719,2014-03-28,"进口分账"
755,"决战刹马镇",6,43297,"李蔚然","孙红雷/林志玲/李立群","喜剧/西部/冒险","中国大陆",4707,2010-06-22,"国产"
756,"屠魔战士 I, Frankenstein",5.2,15992,"斯图尔特·贝亚蒂耶","艾伦·艾克哈特/伊冯娜·斯特拉霍夫斯基/米兰达·奥图","动作/科幻/奇幻/惊悚","美国/澳大利亚",4703,2015-05-26,"进口"
757,"坏蛋必须死",6,27435,"孙皓","陈柏霖/孙艺珍/乔振宇","喜剧/动作/犯罪/悬疑","中国大陆/香港/韩国",4694,2015-11-27,"国产"
758,"熊猫总动员",3.5,994,"GregManwaring/MichaelSchoemann","何炅/谢娜/李维嘉","儿童/动画/家庭","中国大陆/德国/法国/西班牙/比利时",4661,2011-02-03,"国产"
759,"美少女特攻队 Sucker Punch",6.1,45510,"扎克·施奈德","艾米莉·布朗宁/杰米·钟/吉娜·马隆","动作/奇幻/惊悚","美国",4651,2011-04-15,"进口分账"
760,"谍海风云 Shanghai",5.8,17148,"米凯尔·哈弗斯特罗姆","约翰·库萨克/巩俐/周润发","剧情/爱情/悬疑/惊悚","美国/中国大陆/泰国",4649,2010-06-17,"国产"
761,"阿童木 Astro Boy",6.8,38888,"大卫·博维斯","弗莱迪·海默/克里斯汀·贝尔/尼古拉斯·凯奇","动画/动作/家庭/科幻","香港/美国/日本",4623,2009-10-23,"国产"
762,"神奇",3.2,11817,"胡雪桦","黄晓明/郭采洁/金雅中","剧情/爱情/运动","中国大陆",4620,2013-09-30,"国产"
763,"就是这样 This Is It",8.7,76035,"肯尼·奥特加","迈克尔·杰克逊/AlexAl/NickBass","纪录片/音乐","美国",4619,2009-10-28,"进口分账"
764,"猪猪侠之英雄猪少年",4.8,935,"陆锦明/钟裕","易烊千玺/陈轶/张子琨","喜剧/动画/奇幻","中国大陆",4598,2017-01-07,"国产"
765,"魔法总动员 The House of Magic",6.6,2483,"杰里米·德格鲁森/本·斯塔森","辛达·亚当斯/乔治·巴比特/默里·布卢","喜剧/动画/冒险","比利时",4586,2015-04-04,"进口"
766,"猪猪侠之终极决战",3.9,1203,"陆锦明/陆锦辉","陆双/陈志荣/祖晴","喜剧/动画/冒险","中国大陆",4549,2015-07-10,"国产"
767,"罗宾汉 Robin Hood",6.7,20686,"雷德利·斯科特","罗素·克劳/凯特·布兰切特/威廉·赫特","动作/冒险/剧情","美国/英国",4532,2010-06-11,"进口分账"
768,"铠甲勇士之雅塔莱斯",5,497,"郑国伟","许峰/曹曦月/曾祥程","剧情/动作/科幻","中国大陆",4530,2014-10-01,"国产"
769,"保持通话",6.7,105945,"陈木胜","古天乐/徐熙媛/张家辉","动作","香港/中国大陆",4500,2008-09-27,"国产"
770,"暴疯语",5.9,29865,"李光耀","刘青云/黄晓明/方中信","悬疑/惊悚","中国大陆/香港",4491,2015-04-03,"国产"
771,"喵星人",4.5,4588,"陈木胜","古天乐/马丽/刘楚恬","儿童/喜剧/奇幻","香港",4460,2017-07-14,"国产"
772,"闪电狗 Bolt",7.3,74224,"拜伦·霍华德/ChrisWilliams","约翰·特拉沃尔塔/麦莉·赛勒斯/SusieEssman","动画/冒险/喜剧/家庭","美国",4460,2008-12-28,"进口特种"
773,"声之形 聲の形",6.9,34780,"山田尚子","入野自由/早见沙织/松冈茉优","剧情/爱情/动画","日本",4450,2017-09-08,"进口"
774,"王者之剑 Conan the Barbarian",5.3,9007,"马库斯·尼斯佩尔","杰森·莫玛/朗·普尔曼/罗丝·麦高恩","动作/奇幻/冒险","美国",4442,2012-02-26,"进口"
775,"劫案迷云 Stolen",6,19042,"西蒙·韦斯特","尼古拉斯·凯奇/玛琳·阿克曼/乔什·卢卡斯","剧情/动作/惊悚/犯罪","美国",4426,2013-03-01,"进口"
776,"HOLD住爱",3.4,17287,"张琦","杨幂/刘恺威/周秀娜","喜剧/爱情/悬疑","中国大陆",4424,2012-08-23,"国产"
777,"白雪公主之魔镜魔镜 Mirror Mirror",5.9,44463,"塔西姆·辛","朱莉娅·罗伯茨/莉莉·柯林斯/艾米·汉莫","剧情/喜剧/奇幻/冒险","美国",4419,2012-06-01,"进口"
778,"潜艇总动员5：时光宝盒",4.2,324,"何子力","范楚绒/洪海天/谢元真","动画/冒险","中国大陆",4410,2017-05-28,"国产"
779,"我们的十年",4.9,8618,"马伟豪/刘海","赵丽颖/乔任梁/吴映洁","剧情/爱情","中国大陆",4404,2016-09-02,"国产"
780,"赛尔号大电影之寻找凤凰神兽",3.2,1685,"刘虹","张杰/武艺/曾轶可","动画/奇幻/冒险","中国大陆",4404,2011-07-28,"国产"
781,"麦兜我和我妈妈 麥兜<U+2027>我和我媽媽",8.3,39991,"谢立文/李俊民","黄磊/吴君如/张正中","喜剧/动画/家庭","香港/中国大陆",4404,2014-10-01,"国产"
782,"饭局也疯狂",4.9,28785,"尚敬","范伟/黄渤/刘桦","剧情/喜剧","中国大陆",4396,2012-01-23,"国产"
