"Rank","Title","Rating","Appraise","Director","Actor","Type","Area","Sales","Date","Publish"
151,"建党伟业",NA,NA,"韩三平/黄建新","刘烨/冯远征/张嘉译","剧情/历史","中国大陆/香港",42297,2011-06-15,"国产"
152,"建国大业",NA,NA,"韩三平/黄建新","唐国强/张国立/许晴","剧情/历史","中国大陆/香港",41595,2009-09-16,"国产"
153,"速度与激情6 Furious 6",7.7,149775,"林诣彬","范·迪塞尔/保罗·沃克/道恩·强森","动作/犯罪/惊悚","美国",41384,2013-07-26,"进口分账"
154,"百团大战",4.7,11841,"宁海强/张玉中","唐国强/王伍福/陶泽如","历史/战争","中国大陆",41236,2015-08-28,"国产"
155,"极品飞车 Need for Speed",7.2,66998,"斯科特·沃","亚伦·保尔/达科塔·约翰逊/伊莫琴·普茨","剧情/动作/犯罪/惊悚","美国/菲律宾/爱尔兰/英国",41195,2014-03-14,"进口分账"
156,"京城81号",4.9,64424,"叶伟民","吴镇宇/林心如/杨祐宁","剧情/悬疑/恐怖","中国大陆",41184,2014-07-18,"国产"
157,"星际特工：千星之城 Valérian and the City of a Thousand Planets",7.1,59974,"吕克·贝松","戴恩·德哈恩/卡拉·迪瓦伊/克里夫·欧文","动作/科幻/冒险","法国",40919,2017-08-25,"进口"
158,"钟馗伏魔：雪妖魔灵",4.2,58291,"鲍德熹/赵天宇","陈坤/李冰冰/赵文瑄","动作/爱情/奇幻","中国大陆/香港/美国",40862,2015-02-19,"国产"
159,"明日边缘 Edge of Tomorrow",8,238800,"道格·里曼","汤姆·克鲁斯/艾米莉·布朗特/布莱丹·格里森","动作/科幻","美国/加拿大",40609,2014-06-06,"进口分账"
160,"北京爱情故事",6.1,115066,"陈思诚","梁家辉/刘嘉玲/王学兵","爱情","中国大陆",40582,2014-02-13,"国产"
161,"道士下山",5.4,124403,"陈凯歌","王宝强/郭富城/张震","喜剧/动作/奇幻/冒险/武侠/古装","中国大陆/美国",40071,2015-07-02,"国产"
162,"建军大业",NA,NA,"刘伟强","刘烨/朱亚文/黄志忠","剧情/历史","中国大陆",40002,2017-07-27,"国产"
163,"拆弹专家",6.4,52514,"邱礼涛","刘德华/姜武/宋佳","动作/犯罪/悬疑","中国大陆/香港",39924,2017-04-28,"国产"
164,"追龙 追龍",7.5,55226,"王晶/关智耀","甄子丹/刘德华/姜皓文","动作/犯罪","香港/中国大陆",39758,2017-09-30,"国产"
165,"驯龙高手2 How to Train Your Dragon 2",7.9,130899,"迪恩·德布洛斯","杰伊·巴鲁切尔/凯特·布兰切特/杰拉德·巴特勒","喜剧/动画/冒险","美国",39747,2014-08-14,"进口分账"
166,"疯狂原始人 The Croods",8.7,363232,"柯克·德·米科/克里斯·桑德斯","尼古拉斯·凯奇/瑞恩·雷诺兹/艾玛·斯通","喜剧/动画/冒险","美国",39489,2013-04-20,"进口分账"
167,"超人：钢铁之躯 Man of Steel",6.8,119724,"扎克·施奈德","亨利·卡维尔/艾米·亚当斯/迈克尔·珊农","动作/科幻/冒险","美国/英国",39464,2013-06-20,"进口分账"
168,"忍者神龟2：破影而出 Teenage Mutant Ninja Turtles: Out of the Shadows",6.3,47383,"戴夫·格林","梅根·福克斯/斯蒂芬·阿梅尔/威尔·阿奈特","喜剧/动作/科幻/奇幻/冒险","美国/中国大陆/香港/加拿大",39352,2016-07-02,"进口分账"
169,"哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2",8.6,266035,"大卫·叶茨","丹尼尔·雷德克里夫/艾玛·沃森/鲁伯特·格林特","剧情/悬疑/奇幻/冒险","美国/英国",39344,2011-08-04,"进口分账"
170,"嫌疑人X的献身",6.4,134002,"苏有朋","王凯/张鲁一/林心如","犯罪/悬疑","中国大陆",39230,2017-03-31,"国产"
171,"白发魔女传之明月天国",3.7,57903,"张之亮","范冰冰/黄晓明/赵文卓","动作/爱情/奇幻/武侠/古装","中国大陆/香港",38971,2014-07-31,"国产"
172,"爱宠大机密 The Secret Life of Pets",7.5,120078,"克里斯·雷纳德/亚罗·切尼","路易·C·K/艾瑞克·斯通斯崔特/凯文·哈特","喜剧/动画","美国",38916,2016-08-02,"进口分账"
173,"地心历险记2：神秘岛 Journey 2: The Mysterious Island",6.2,51213,"布拉德·佩顿","道恩·强森/乔什·哈切森/迈克尔·凯恩","动作/冒险/家庭/奇幻/科幻","美国",38849,2012-02-10,"进口特种"
174,"爱丽丝梦游仙境2：镜中奇遇记 Alice Through the Looking Glass",6.6,72185,"詹姆斯·博宾","约翰尼·德普/米娅·华希科沃斯卡/海伦娜·伯翰·卡特","奇幻/冒险","美国",38678,2016-05-27,"进口分账"
175,"爵迹",3.8,89100,"郭敬明","范冰冰/吴亦凡/陈学冬","动画/奇幻","中国大陆",38304,2016-09-30,"国产"
176,"栀子花开",4.1,82197,"何炅","李易峰/张慧雯/蒋劲夫","爱情","中国大陆",37907,2015-07-10,"国产"
177,"荒野猎人 The Revenant",7.8,201235,"亚利桑德罗·冈萨雷斯·伊纳里图","莱昂纳多·迪卡普里奥/汤姆·哈迪/多姆纳尔·格里森","剧情/惊悚/冒险","美国",37740,2016-03-18,"进口"
178,"007：大破天幕杀机 Skyfall",6.9,168202,"萨姆·门德斯","丹尼尔·克雷格/朱迪·丹奇/哈维尔·巴登","动作/惊悚/犯罪/冒险","英国/美国",37678,2013-01-21,"进口分账"
179,"忍者神龟：变种时代 Teenage Mutant Ninja Turtles",6.4,78094,"乔纳森·里贝斯曼","梅根·福克斯/威尔·阿奈特/威廉·菲德内尔","喜剧/动作/科幻/冒险","美国",37423,2014-10-31,"进口分账"
180,"一九四二",7.3,139641,"冯小刚","张国立/张默/徐帆","剧情/历史/战争/灾难","中国大陆",37217,2012-11-29,"国产"
181,"火锅英雄",7.2,176602,"杨庆","陈坤/白百何/秦昊","剧情/犯罪","中国大陆",37056,2016-04-01,"国产"
182,"重返20岁",7.2,182370,"陈正道","杨子姗/归亚蕾/陈柏霖","喜剧/爱情/奇幻","中国大陆/韩国/台湾/香港",36694,2015-01-08,"国产"
183,"大话西游3",3.6,43988,"刘镇伟","韩庚/唐嫣/吴京","喜剧/爱情/奇幻","中国大陆/香港",36570,2016-09-14,"国产"
184,"我的少女时代 我的少女時代",7.8,278029,"陈玉珊","宋芸桦/王大陆/李玉玺","喜剧/爱情","台湾",36134,2015-11-19,"进口"
185,"泰坦尼克号 Titanic",9.2,666986,"詹姆斯·卡梅隆","莱昂纳多·迪卡普里奥/凯特·温丝莱特/比利·赞恩","剧情/爱情/灾难","美国",35950,1998-04-03,"进口分账"
186,"失恋33天",7.3,376959,"滕华涛","白百何/文章/张嘉译","剧情/爱情","中国大陆",35608,2011-11-08,"国产"
187,"星际迷航2：暗黑无界 Star Trek Into Darkness",7.9,148025,"J·J·艾布拉姆斯","克里斯·派恩/扎克瑞·昆图/佐伊·索尔达娜","动作/科幻/冒险","美国",35390,2013-05-28,"进口分账"
188,"何以笙箫默",3.6,93172,"杨文军/黄斌","黄晓明/杨幂/佟大为","爱情","中国大陆",35348,2015-04-30,"国产"
189,"一代宗师 一代宗師",7.7,277162,"王家卫","梁朝伟/章子怡/张震","剧情/传记/动作","中国大陆/香港",35278,2013-01-08,"国产"
190,"侏罗纪公园 Jurassic Park",7.9,154408,"史蒂文·斯皮尔伯格","山姆·尼尔/劳拉·邓恩/杰夫·高布伦","科幻/冒险","美国",34621,2013-08-20,"进口分账"
191,"亲爱的",8.3,250252,"陈可辛","赵薇/黄渤/佟大为","剧情/家庭","中国大陆/香港",34443,2014-09-25,"国产"
192,"雷神2：黑暗世界 Thor: The Dark World",7.4,133812,"阿兰·泰勒","克里斯·海姆斯沃斯/汤姆·希德勒斯顿/娜塔莉·波特曼","动作/奇幻/冒险","美国",34101,2013-11-08,"进口分账"
193,"蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises",8.5,285898,"克里斯托弗·诺兰","克里斯蒂安·贝尔/汤姆·哈迪/安妮·海瑟薇","剧情/动作/科幻/犯罪/惊悚","美国/英国",34018,2012-08-27,"进口分账"
194,"伦敦陷落 London Has Fallen",6.1,61231,"巴巴克·纳加非","杰拉德·巴特勒/艾伦·艾克哈特/摩根·弗里曼","动作/犯罪/惊悚","英国/美国/保加利亚",33976,2016-04-08,"进口分账"
195,"敦刻尔克 Dunkirk",8.6,223936,"克里斯托弗·诺兰","菲恩·怀特海德/汤姆·格林-卡尼/杰克·劳登","剧情/历史/战争","英国/法国/美国/荷兰",33960,2017-09-01,"进口分账"
196,"机械师2：复活 Mechanic: Resurrection",5.6,53031,"丹尼斯·甘塞尔","杰森·斯坦森/杰西卡·阿尔芭/汤米·李·琼斯","动作/犯罪","法国/美国",33886,2016-10-21,"进口"
197,"特种部队2：全面反击 G.I. Joe: Retaliation",6.4,66070,"朱浩伟","道恩·强森/布鲁斯·威利斯/李秉宪","动作/冒险","美国",33803,2013-04-15,"进口分账"
198,"致青春·原来你还在这里",4,71941,"周拓如","吴亦凡/刘亦菲/金世佳","剧情/爱情","中国大陆",33708,2016-07-08,"国产"
199,"敢死队2 The Expendables 2",6.8,94756,"西蒙·韦斯特","西尔维斯特·史泰龙/杰森·斯坦森/李连杰","动作/冒险","美国",33406,2012-09-04,"进口"
200,"非诚勿扰",7.1,252133,"冯小刚","葛优/舒淇/范伟","喜剧/爱情","中国大陆",32526,2008-12-18,"国产"
201,"我的特工爷爷 特工爺爺",5.3,38635,"洪金宝","洪金宝/刘德华/朱雨辰","剧情/动作/冒险","香港/中国大陆",32518,2016-04-01,"国产"
202,"神偷奶爸2 Despicable Me 2",8,224597,"皮埃尔·柯芬/克里斯·雷纳德","史蒂夫·卡瑞尔/克里斯汀·韦格/本杰明·布拉特","喜剧/动画/冒险","美国",32425,2014-01-10,"进口特种"
203,"博物馆奇妙夜3 Night at the Museum: Secret of the Tomb",7,93301,"肖恩·利维","本·斯蒂勒/罗宾·威廉姆斯/欧文·威尔逊","喜剧/奇幻/冒险","美国/英国",32331,2014-01-04,"进口报关"
204,"万万没想到",5.5,121398,"易小星","白客/杨子姗/陈柏霖","喜剧/奇幻/冒险/古装","中国大陆",32216,2015-12-18,"国产"
205,"横冲直撞好莱坞",4.5,60120,"蒂姆·肯德尔","赵薇/黄晓明/佟大为","喜剧/动作/冒险","中国大陆/香港/美国",32214,2015-06-26,"国产"
206,"赤壁(上)",6.3,119076,"吴宇森","梁朝伟/金城武/张丰毅","动作/冒险/剧情/历史/战争","中国大陆/香港/台湾/日本/韩国",32100,2008-07-10,"国产"
207,"风暴 風暴",6.4,80009,"袁锦麟","刘德华/姚晨/林家栋","动作/犯罪","香港/中国大陆",31763,2013-12-12,"国产"
208,"霍比特人1：意外之旅 The Hobbit: An Unexpected Journey",8.1,221431,"彼得·杰克逊","伊恩·麦克莱恩/马丁·弗瑞曼/理查德·阿米蒂奇","动作/奇幻/冒险","美国/新西兰",31591,2013-02-22,"进口特种"
209,"机械战警 RoboCop",6.3,59612,"若泽·帕迪里亚","乔尔·金纳曼/加里·奥德曼/迈克尔·基顿","动作/科幻/犯罪","美国",31493,2014-02-28,"进口分账"
210,"太空旅客 Passengers",6.9,110796,"莫滕·泰杜姆","詹妮弗·劳伦斯/克里斯·普拉特/麦克·辛","冒险/科幻","美国",31453,2017-01-13,"进口分账"
211,"超凡蜘蛛侠 The Amazing Spider-Man",7.2,145206,"马克·韦布","安德鲁·加菲尔德/艾玛·斯通/瑞斯·伊凡斯","动作/科幻/冒险","美国",31151,2012-08-27,"进口分账"
212,"超级战舰 Battleship",6.6,90642,"彼得·博格","泰勒·克奇/亚历山大·斯卡斯加德/蕾哈娜","动作/科幻/冒险/灾难","美国",31139,2012-04-18,"进口分账"
213,"异形：契约 Alien: Covenant",7.3,121376,"雷德利·斯科特","迈克尔·法斯宾德/凯瑟琳·沃特斯顿/比利·克鲁德普","科幻/惊悚/恐怖","美国",30994,2017-06-16,"进口分账"
214,"窃听风云3",6.2,103165,"麦兆辉/庄文强","刘青云/古天乐/吴彦祖","动作/犯罪/悬疑/惊悚","香港/中国大陆",30922,2014-05-29,"国产"
215,"泰山归来：险战丛林 The Legend of Tarzan",6,29747,"大卫·叶茨","亚历山大·斯卡斯加德/玛格特·罗比/塞缪尔·杰克逊","动作/冒险","美国/英国/加拿大",30603,2016-07-19,"进口特种"
216,"烈日灼心",7.9,239287,"曹保平","邓超/段奕宏/郭涛","剧情/犯罪/悬疑","中国大陆",30429,2015-08-27,"国产"
217,"心理罪",5.1,58923,"谢东燊","廖凡/李易峰/万茜","动作/犯罪/悬疑","中国大陆",30393,2017-08-11,"国产"
218,"天机·富春山居图",2.9,81404,"孙健君","刘德华/林志玲/张静初","动作/冒险","中国大陆",29909,2013-06-09,"国产"
219,"冰雪奇缘 Frozen",8.3,295519,"克里斯·巴克/珍妮弗·李","克里斯汀·贝尔/伊迪娜·门泽尔/乔纳森·格罗夫","喜剧/动画/歌舞","美国",29843,2014-02-05,"进口分账"
220,"沉睡魔咒 Maleficent",6.9,113415,"罗伯特·斯特罗姆伯格","安吉丽娜·朱莉/艾丽·范宁/沙尔托·科普雷","动作/爱情/奇幻/冒险","美国/英国",29568,2014-06-20,"进口分账"
221,"熊出没之雪岭熊风",7.3,7089,"丁亮/刘富源","张伟/张秉君/谭笑","喜剧/动画/冒险/家庭","中国大陆",29534,2015-01-30,"国产"
222,"小时代2：青木时代",4.9,136594,"郭敬明","杨幂/柯震东/郭采洁","剧情/喜剧/爱情","中国大陆/台湾",29350,2013-08-08,"国产"
223,"狄仁杰之通天帝国",6.4,148564,"徐克","刘德华/刘嘉玲/李冰冰","剧情/动作/犯罪/悬疑/古装","中国大陆/香港",29228,2010-09-29,"国产"
224,"归来",7.7,174813,"张艺谋","陈道明/巩俐/张慧雯","剧情/历史/爱情","中国大陆",29203,2014-05-16,"国产"
225,"记忆大师",7.2,147777,"陈正道","黄渤/段奕宏/徐静蕾","剧情/犯罪/悬疑/惊悚","中国大陆",29185,2017-04-28,"国产"
226,"满城尽带黄金甲",5.2,108055,"张艺谋","周润发/巩俐/刘烨","剧情/动作/爱情/古装","中国大陆/香港",29100,2006-12-14,"国产"
227,"十月围城",7.7,216464,"陈德森","甄子丹/王学圻/梁家辉","动作/剧情/历史","香港/中国大陆",29032,2009-12-17,"国产"
228,"微爱之渐入佳境",4.6,57703,"顾长卫","杨颖/陈赫/张鲁一","喜剧/爱情","中国大陆",28892,2014-12-31,"国产"
229,"咱们结婚吧",5.9,59566,"刘江","高圆圆/姜武/李晨","喜剧/爱情","中国大陆",28780,2015-04-02,"国产"
230,"熊出没之熊心归来",6.2,4494,"丁亮/林永长","张伟/张秉君/谭笑","喜剧/动画/冒险","中国大陆",28778,2016-01-16,"国产"
231,"不二神探",4.6,94754,"王子鸣","文章/李连杰/刘诗诗","喜剧/动作/犯罪","中国大陆",28428,2013-06-21,"国产"
232,"封神传奇",2.9,39458,"许安","李连杰/范冰冰/黄晓明","剧情/动作/奇幻","香港/中国大陆",28406,2016-07-29,"国产"
233,"有一个地方只有我们知道",4.9,111788,"徐静蕾","吴亦凡/王丽坤/徐静蕾","爱情","中国大陆",28335,2015-02-10,"国产"
234,"变形金刚 Transformers",8.1,236561,"迈克尔·贝","希亚·拉博夫/泰瑞斯·吉布森/乔什·杜哈明","动作/科幻","美国",28232,2007-07-11,"进口分账"
235,"微微一笑很倾城",5,69528,"赵天宇","井柏然/杨颖/李沁","爱情","中国大陆",27584,2016-08-12,"国产"
236,"催眠大师",7.6,199199,"陈正道","徐峥/莫文蔚/胡静","剧情/悬疑/惊悚","中国大陆",27419,2014-04-29,"国产"
237,"超体 Lucy",7,239324,"吕克·贝松","斯嘉丽·约翰逊/摩根·弗里曼/崔岷植","动作/科幻","法国",27229,2014-10-24,"进口"
238,"厨子戏子痞子",7,156621,"管虎","刘烨/张涵予/黄渤","喜剧/动作","中国大陆",27058,2013-03-29,"国产"
239,"木星上行 Jupiter Ascending",5.4,55320,"莉莉·沃卓斯基/拉娜·沃卓斯基","查宁·塔图姆/米拉·库尼斯/肖恩·宾","动作/科幻/冒险","美国/英国",26884,2015-03-06,"进口分账"
240,"金刚狼2 The Wolverine",6.1,99296,"詹姆斯·曼高德","休·杰克曼/冈本多绪/福岛莉拉","动作/科幻","美国/英国",26855,2013-10-17,"进口分账"
241,"绣春刀II：修罗战场",7.4,151251,"路阳","张震/杨幂/张译","剧情/动作/武侠/古装","中国大陆",26570,2017-07-19,"国产"
242,"无人区",8.1,263830,"宁浩","徐峥/黄渤/余男","剧情/犯罪/西部","中国大陆",26189,2013-12-03,"国产"
243,"异星战场 John Carter",6.3,46513,"安德鲁·斯坦顿","泰勒·克奇/琳恩·柯林斯/托马斯·哈登·丘奇","动作/科幻/奇幻/冒险","美国",26064,2012-03-16,"进口分账"
244,"赤壁(下)",6.4,91830,"吴宇森","梁朝伟/金城武/张丰毅","动作/剧情/历史/战争","中国大陆/香港/日本/台湾/韩国",26053,2009-01-08,"国产"
245,"王牌逗王牌",3.3,24316,"王晶","刘德华/黄晓明/王祖蓝","喜剧/动作/冒险","中国大陆/香港",26039,2016-09-30,"国产"
246,"三枪拍案惊奇",4.6,73893,"张艺谋","小沈阳/闫妮/孙红雷","剧情","中国大陆/香港",25821,2009-12-10,"国产"
247,"缝纫机乐队",7,46044,"大鹏","大鹏/乔杉/古力娜扎","喜剧/音乐","中国大陆",25757,2017-09-29,"国产"
248,"卧虎藏龙：青冥宝剑 Crouching Tiger, Hidden Dragon: Sword of Destiny",4.7,27570,"袁和平","甄子丹/杨紫琼/岑勇康","剧情/动作/武侠/古装","中国大陆/美国",25634,2016-02-19,"国产"
249,"蓝精灵 The Smurfs",7.2,81154,"拉加·高斯内尔","尼尔·帕特里克·哈里斯/杰玛·梅斯/汉克·阿扎利亚","喜剧/动画/奇幻/家庭","美国/比利时",25489,2011-08-10,"进口特种"
250,"海底总动员2：多莉去哪儿 Finding Dory",7.3,52688,"安德鲁·斯坦顿/安格斯·麦克莱恩","艾伦·德杰尼勒斯/艾伯特·布鲁克斯/艾德·奥尼尔","喜剧/动画/冒险/家庭","美国",25411,2016-06-17,"进口分账"
251,"速度与激情5 Fast Five",8.4,209264,"林诣彬","范·迪塞尔/保罗·沃克/道恩·强森","动作/犯罪","美国",25411,2011-05-13,"进口分账"
252,"寒战 寒戰",7.4,213941,"梁乐民/陆剑青","郭富城/梁家辉/李治廷","剧情/动作/犯罪","香港/中国大陆",25361,2012-11-08,"国产"
253,"金蝉脱壳 Escape Plan",7.6,119900,"米凯尔·哈弗斯特罗姆","西尔维斯特·史泰龙/阿诺·施瓦辛格/吉姆·卡维泽","动作/惊悚","美国",25249,2013-11-04,"进口"
254,"前任2：备胎反击战",5,41775,"田羽生","郑恺/郭采洁/王传君","喜剧/爱情","中国大陆/香港",25188,2015-11-06,"国产"
255,"空天猎",4.9,26830,"李晨","李晨/范冰冰/王千源","剧情/动作/战争","中国大陆",25150,2017-09-29,"国产"
256,"英雄",6.8,127032,"张艺谋","李连杰/梁朝伟/张曼玉","剧情/动作/武侠/古装","中国大陆/香港",2,2002-12-19,"国产"
257,"集结号",7.8,114474,"冯小刚","张涵予/邓超/袁文康","剧情/传记/历史/战争","中国大陆/香港",24978,2007-12-20,"国产"
258,"爱乐之城 La La Land",8.3,320674,"达米恩·查泽雷","瑞恩·高斯林/艾玛·斯通/约翰·传奇","剧情/爱情/歌舞","美国",24793,2017-02-14,"进口"
259,"极盗者 Point Break",6.8,63230,"埃里克松·科尔","卢克·布雷西/埃德加·拉米雷兹/泰莉莎·帕尔墨","动作/犯罪/运动","美国/中国大陆/德国",24739,2015-12-04,"进口"
260,"熊出没之夺宝熊兵",6.4,12758,"丁亮/刘富源","张秉君/张伟/谭笑","喜剧/动画/冒险/家庭","中国大陆",24643,2014-01-17,"国产"
261,"里约大冒险2 Rio 2",7.6,77475,"卡洛斯·萨尔达尼亚","安妮·海瑟薇/杰西·艾森伯格/布鲁诺·马尔斯","喜剧/动画/冒险","美国",24378,2014-04-11,"进口特种"
262,"扫毒 掃毒",7.2,116743,"陈木胜","刘青云/张家辉/古天乐","剧情/动作/犯罪/悬疑","中国大陆/香港",23963,2013-11-29,"国产"
263,"马达加斯加的企鹅 Penguins of Madagascar",7.4,73650,"埃里克·达尼尔/西蒙·J·史密斯","汤姆·麦格拉思/克里斯·米勒/克里斯多夫·奈茨","喜剧/动画/冒险","美国",23704,2014-11-14,"进口分账"
264,"侠盗联盟 俠盜聯盟",5.5,22720,"冯德伦","刘德华/舒淇/张静初","动作/冒险","中国大陆/香港/捷克",23688,2017-08-11,"国产"
265,"神战：权力之眼 Gods of Egypt",6.4,30965,"亚历克斯·普罗亚斯","尼古拉·科斯特-瓦尔道/布伦顿·思韦茨/杰拉德·巴特勒","动作/奇幻/冒险","美国/澳大利亚",23540,2016-03-11,"进口"
266,"爱丽丝梦游仙境 Alice in Wonderland",7,210000,"蒂姆·波顿","米娅·华希科沃斯卡/约翰尼·德普/海伦娜·伯翰·卡特","奇幻/冒险","美国",23404,2010-03-26,"进口分账"
267,"叶问2：宗师传奇",7.2,139617,"叶伟信","甄子丹/洪金宝/熊黛林","动作/传记/历史","中国大陆/香港",23404,2010-04-27,"国产"
268,"画皮 畫皮",6.5,243396,"陈嘉上/钱永强","甄子丹/周迅/陈坤","动作/剧情/惊悚","中国大陆/香港/新加坡",23241,2008-09-25,"国产"
269,"听风者",6.8,145612,"麦兆辉/庄文强","梁朝伟/周迅/范晓萱","剧情/悬疑","中国大陆/香港",23224,2012-08-07,"国产"
270,"一生一世",5.1,71104,"邹佡","谢霆锋/高圆圆/杜海涛","爱情","中国大陆/香港",22941,2014-09-05,"国产"
271,"洛杉矶之战 Battle: Los Angeles",6,83056,"乔纳森·里贝斯曼","艾伦·艾克哈特/米歇尔·罗德里格兹/拉蒙·罗德里格兹","动作/战争/科幻/灾难","美国",22739,2011-03-18,"进口分账"
272,"海洋奇缘 Moana",7.6,68735,"罗恩·克莱蒙兹/约翰·马斯克","奥丽伊·卡瓦洛/道恩·强森/艾伦·图代克","喜剧/动画/奇幻/冒险/歌舞/家庭","美国",22699,2016-11-25,"进口分账"
273,"撒娇女人最好命",5.8,119029,"彭浩翔","周迅/黄晓明/隋棠","喜剧/爱情","中国大陆/香港",22440,2014-11-28,"国产"
274,"风声",8,263053,"陈国富/高群书","周迅/李冰冰/张涵予","犯罪/剧情/惊悚/战争","中国大陆",22413,2009-09-30,"国产"
275,"普罗米修斯 Prometheus",7.2,189006,"雷德利·斯科特","劳米·拉佩斯/迈克尔·法斯宾德/查理兹·塞隆","科幻/惊悚/冒险","美国/英国",22359,2012-09-02,"进口特种"
276,"爸爸去哪儿2",4.5,15030,"谢涤葵/林妍","黄磊/黄忆慈/陆毅","儿童/喜剧/家庭","中国大陆",22341,2015-02-19,"国产"
277,"敢死队 The Expendables",6.7,119476,"西尔维斯特·史泰龙","西尔维斯特·史泰龙/杰森·斯坦森/李连杰","动作/冒险/惊悚","美国",21876,2010-08-20,"进口批片"
278,"京城81号2 京城81号Ⅱ",3.9,14690,"钱人豪","张智霖/梅婷/钟欣潼","剧情/悬疑/惊悚","中国大陆",21803,2017-07-06,"国产"
279,"新少林寺",5.9,79466,"陈木胜","刘德华/谢霆锋/范冰冰","剧情/动作","中国大陆/香港",21626,2011-01-19,"国产"
280,"欢乐好声音 Sing",8.2,119316,"加斯·詹宁斯/克里斯托夫·卢尔德莱","马修·麦康纳/瑞茜·威瑟斯彭/塞思·麦克法兰","喜剧/动画/歌舞","美国",21621,2017-02-17,"进口分账"
281,"失孤",6.4,57073,"彭三源","刘德华/井柏然/吴君如","剧情","中国大陆/香港",21616,2015-03-20,"国产"
282,"我是证人",6.1,77092,"安相勋","杨幂/鹿晗/王景春","剧情/犯罪/悬疑","中国大陆/韩国",21494,2015-10-30,"国产"
283,"窃听风云2",7.5,157041,"麦兆辉/庄文强","古天乐/刘青云/吴彦祖","剧情/动作/犯罪/悬疑","香港/中国大陆",21468,2011-08-18,"国产"
284,"重返地球 After Earth",5.5,48539,"M·奈特·沙马兰","威尔·史密斯/贾登·史密斯/佐伊·克罗维兹","动作/科幻/冒险","美国",21466,2013-07-12,"进口分账"
285,"赏金猎人",5,24398,"申太罗","李敏镐/钟汉良/唐嫣","剧情/喜剧/动作","中国大陆/韩国/香港",21374,2016-07-01,"国产"
286,"哈利·波特与死亡圣器(上) Harry Potter and the Deathly Hallows: Part 1",7.8,173688,"大卫·叶茨","丹尼尔·雷德克里夫/艾玛·沃森/鲁伯特·格林特","剧情/奇幻/冒险","英国/美国",21313,2010-11-19,"进口分账"
287,"谍影重重4 The Bourne Legacy",6.7,95818,"托尼·吉尔罗伊","杰瑞米·雷纳/蕾切尔·薇兹/爱德华·诺顿","动作/悬疑/惊悚","美国/日本",21302,2012-10-25,"进口分账"
288,"白蛇传说",4.7,87112,"程小东","李连杰/黄圣依/林峰","动作/爱情/奇幻/古装","中国大陆",21100,2011-09-28,"国产"
289,"马达加斯加3 Madagascar 3: Europe's Most Wanted",8.2,116516,"康拉德·弗农/埃里克·达尼尔/汤姆·麦格拉思","本·斯蒂勒/克里斯·洛克/大卫·休默","喜剧/动画/冒险","美国",21078,2012-06-08,"进口特种"
290,"怪兽大学 Monsters University",8,188733,"丹·斯坎伦","比利·克里斯托/约翰·古德曼/史蒂夫·布西密","喜剧/动画/冒险","美国",21007,2013-08-23,"进口分账"
291,"喜欢你",6.9,136646,"许宏宇","金城武/周冬雨/孙艺洲","喜剧/爱情","中国大陆",20993,2017-04-27,"国产"
292,"赤道",6,69938,"梁乐民/陆剑青","张学友/张家辉/余文乐","剧情/动作/犯罪/悬疑","香港",20932,2015-04-30,"国产"
293,"盲探",7.1,130133,"杜琪峰","刘德华/郑秀文/郭涛","喜剧/爱情/悬疑/惊悚/犯罪","中国大陆/香港",20958,2013-07-04,"国产"
294,"饥饿游戏3：嘲笑鸟(上) The Hunger Games: Mockingjay - Part 1",5.8,87653,"弗朗西斯·劳伦斯","詹妮弗·劳伦斯/乔什·哈切森/利亚姆·海姆斯沃斯","动作/科幻/冒险","美国",20942,2015-02-08,"进口分账"
295,"反贪风暴2 S風暴",5.3,25487,"林德禄","古天乐/张智霖/周渝民","剧情/犯罪","中国大陆/香港",20901,2016-09-14,"国产"
296,"老男孩猛龙过江",5.7,97251,"肖央","肖央/王太利/屈菁菁","剧情/喜剧","中国大陆",20888,2014-07-10,"国产"
297,"痞子英雄2：黎明升起 痞子英雄2：黎明再起",5.4,35211,"蔡岳勋","赵又廷/林更新/黄渤","剧情/动作/犯罪","中国大陆/台湾/香港",20873,2014-10-01,"国产"
298,"闺蜜",5.4,74519,"黄真真","陈意涵/薛凯琪/杨子姗","喜剧/爱情","中国大陆",20498,2014-07-30,"国产"
299,"长江七号",6.3,171971,"周星驰","周星驰/徐娇/张雨绮","喜剧/科幻","中国大陆/香港",20304,2008-01-30,"国产"
300,"攻壳机动队 Ghost in the Shell",6.5,99397,"鲁伯特·桑德斯","斯嘉丽·约翰逊/皮鲁·埃斯贝克/北野武","动作/科幻/犯罪","美国",20233,2017-04-07,"进口分账"
301,"虎胆龙威5 A Good Day to Die Hard",6.2,44960,"约翰·摩尔","布鲁斯·威利斯/杰·科特尼/塞巴斯蒂安·科赫","动作/惊悚/犯罪","美国",20129,2013-03-14,"进口分账"
302,"投名状",6.9,101007,"陈可辛","李连杰/金城武/刘德华","剧情/动作/战争/古装","中国大陆/香港",20110,2007-12-12,"国产"
303,"逆时营救",4.8,36222,"尹鸿承","杨幂/霍建华/金士杰","动作/科幻","中国大陆",20071,2017-06-29,"国产"
304,"101次求婚",5.6,125749,"陈正道","黄渤/林志玲/高以翔","爱情","中国大陆/台湾/日本",20042,2013-02-12,"国产"
